order_id,date,region,product_category,product_name,quantity,unit_price,revenue,customer_id
1,2024-10-16,Northeast,Electronics,Tablet,8,227.09,1816.72,C854
2,2023-04-15,Southwest,Electronics,Keyboard,14,36.62,512.68,C195
3,2023-08-12,Southeast,Food,Chocolate,1,563.43,563.43,C833
4,2024-10-27,Southwest,Sports,Yoga Mat,15,591.31,8869.65,C928
5,2023-01-07,Southeast,Sports,Dumbbells,9,159.7,1437.3,C881
6,2023-12-11,Northeast,Electronics,Monitor,4,362.18,1448.72,C452
7,2024-09-10,Midwest,Electronics,Monitor,18,129.2,2325.6,C487
8,2023-03-22,Southwest,Home,Toaster,12,579.46,6953.52,C821
9,2023-03-13,Northeast,Clothing,Jeans,3,856.03,2568.09,C987
10,2023-04-14,West,Home,Blender,12,166.84,2002.08,C463
11,2023-08-03,Midwest,Electronics,Keyboard,6,536.46,3218.76,C350
12,2023-06-17,West,Sports,Dumbbells,18,223.51,4023.18,C432
13,2023-02-27,Southeast,Electronics,Tablet,13,271.4,3528.2,C316
14,2024-08-03,Midwest,Clothing,Sneakers,13,885.25,11508.25,C758
15,2024-04-14,Southeast,Home,Pillow,8,746.26,5970.08,C651
16,2023-09-27,Southwest,Sports,Helmet,13,365.18,4747.34,C241
17,2024-06-05,West,Electronics,Laptop,4,157.08,628.32,C263
18,2024-11-27,West,Food,Coffee,13,384.71,5001.23,C579
19,2024-06-25,Midwest,Food,Coffee,4,683.3,2733.2,C649
20,2023-10-01,Midwest,Electronics,Tablet,14,162.37,2273.18,C103
21,2023-09-27,Southwest,Clothing,Hat,4,871.16,3484.64,C405
22,2024-10-16,Southwest,Food,Granola,5,377.04,1885.2,C265
23,2024-07-06,Southwest,Electronics,Keyboard,11,491.16,5402.76,C214
24,2024-01-07,Midwest,Clothing,T-Shirt,8,878.61,7028.88,C180
25,2023-03-29,West,Electronics,Keyboard,5,132.75,663.75,C586
26,2024-07-16,Southeast,Home,Toaster,20,426.02,8520.4,C316
27,2024-07-06,Southeast,Home,Blender,12,440.91,5290.92,C629
28,2024-04-07,Northeast,Clothing,Jacket,3,341.39,1024.17,C702
29,2024-07-21,Southeast,Food,Granola,1,75.64,75.64,C746
30,2023-03-02,Southeast,Electronics,Laptop,11,75.5,830.5,C343
31,2023-10-13,West,Clothing,Hat,5,724.73,3623.65,C684
32,2024-08-13,West,Clothing,Sneakers,14,194.46,2722.44,C199
33,2024-11-05,West,Home,Blender,14,469.68,6575.52,C846
34,2023-02-25,Northeast,Electronics,Monitor,11,801.58,8817.38,C211
35,2023-09-12,Southeast,Clothing,Hat,15,144.48,2167.2,C287
36,2023-10-13,West,Clothing,T-Shirt,15,808.97,12134.55,C976
37,2024-07-17,Northeast,Electronics,Keyboard,1,969.14,969.14,C871
38,2023-08-31,Southeast,Sports,Bike,16,217.68,3482.88,C510
39,2023-03-02,Southeast,Sports,Basketball,13,268.87,3495.31,C902
40,2024-04-10,Midwest,Sports,Helmet,16,159.02,2544.32,C403
41,2023-08-11,Northeast,Food,Chocolate,2,749.23,1498.46,C158
42,2023-02-21,Southwest,Sports,Helmet,17,161.64,2747.88,C620
43,2023-03-24,Southeast,Electronics,Keyboard,3,676.83,2030.49,C340
44,2024-02-18,Northeast,Food,Granola,19,596.54,11334.26,C734
45,2023-03-25,West,Food,Chocolate,17,319.78,5436.26,C367
46,2023-07-29,Midwest,Clothing,Jeans,13,135.22,1757.86,C760
47,2023-11-04,West,Home,Lamp,1,460.99,460.99,C676
48,2023-04-13,Northeast,Food,Granola,17,268.87,4570.79,C457
49,2023-03-12,Southeast,Home,Rug,6,440.99,2645.94,C656
50,2024-12-21,Midwest,Food,Chocolate,1,669.52,669.52,C667
51,2023-11-03,Northeast,Clothing,Jeans,4,890.26,3561.04,C860
52,2024-07-20,Southeast,Home,Rug,20,214.57,4291.4,C451
53,2023-07-28,Midwest,Food,Olive Oil,9,905.8,8152.2,C966
54,2023-02-22,Northeast,Sports,Dumbbells,2,8.53,17.06,C889
55,2023-05-14,Midwest,Clothing,Sneakers,18,707.13,12728.34,C674
56,2023-01-10,Northeast,Electronics,Phone,18,40.85,735.3,C478
57,2024-08-19,Southwest,Clothing,Sneakers,5,46.62,233.1,C473
58,2023-02-10,Midwest,Clothing,Jacket,4,356.91,1427.64,C673
59,2024-02-21,Southwest,Clothing,Jacket,6,976.32,5857.92,C930
60,2023-07-01,West,Electronics,Phone,11,783.47,8618.17,C521
61,2024-11-16,Southeast,Home,Pillow,4,385.63,1542.52,C139
62,2024-04-26,Southeast,Clothing,Sneakers,12,308.66,3703.92,C914
63,2023-08-22,Southeast,Electronics,Phone,13,331.62,4311.06,C985
64,2023-03-13,Midwest,Home,Toaster,13,681.11,8854.43,C963
65,2024-07-03,Midwest,Electronics,Laptop,9,182.67,1644.03,C371
66,2023-02-09,Northeast,Food,Olive Oil,12,729.9,8758.8,C421
67,2024-03-22,Southwest,Food,Coffee,13,900.0,11700.0,C294
68,2023-09-18,Northeast,Sports,Basketball,17,925.94,15740.98,C651
69,2024-12-04,Southeast,Home,Blender,3,949.12,2847.36,C438
70,2024-09-30,Midwest,Electronics,Tablet,17,312.74,5316.58,C518
71,2023-12-01,West,Home,Toaster,5,195.88,979.4,C780
72,2024-01-24,Southeast,Food,Chocolate,10,409.04,4090.4,C953
73,2023-01-01,Midwest,Home,Pillow,14,786.82,11015.48,C721
74,2024-11-01,Midwest,Sports,Bike,15,677.24,10158.6,C623
75,2024-04-29,Southeast,Electronics,Tablet,17,665.53,11314.01,C734
76,2023-12-10,Northeast,Clothing,Jeans,8,807.52,6460.16,C250
77,2023-01-26,Northeast,Clothing,Sneakers,20,850.48,17009.6,C174
78,2024-04-11,West,Food,Granola,13,496.9,6459.7,C349
79,2023-06-01,Northeast,Electronics,Monitor,8,180.01,1440.08,C812
80,2024-06-14,West,Electronics,Keyboard,8,917.87,7342.96,C224
81,2024-04-12,Southeast,Sports,Helmet,18,597.47,10754.46,C873
82,2024-03-29,Southwest,Food,Olive Oil,18,448.68,8076.24,C262
83,2024-05-01,West,Home,Pillow,9,766.98,6902.82,C633
84,2024-05-11,Southeast,Home,Blender,3,714.97,2144.91,C340
85,2023-10-06,Midwest,Home,Toaster,3,142.68,428.04,C336
86,2024-01-28,Southeast,Clothing,T-Shirt,14,410.56,5747.84,C655
87,2024-04-22,West,Electronics,Phone,14,392.53,5495.42,C888
88,2024-08-21,Northeast,Food,Olive Oil,16,10.87,173.92,C460
89,2023-11-02,West,Sports,Helmet,18,800.86,14415.48,C325
90,2024-05-14,Southeast,Home,Blender,16,33.88,542.08,C444
91,2024-11-15,West,Clothing,Sneakers,5,980.81,4904.05,C646
92,2023-01-28,West,Food,Chocolate,1,88.53,88.53,C538
93,2023-05-19,West,Clothing,T-Shirt,9,382.2,3439.8,C316
94,2024-04-10,Midwest,Home,Blender,9,753.24,6779.16,C951
95,2024-03-07,Midwest,Electronics,Monitor,1,750.27,750.27,C153
96,2023-12-25,Southeast,Electronics,Laptop,1,949.85,949.85,C304
97,2023-01-21,Southwest,Clothing,Jacket,5,476.19,2380.95,C217
98,2024-07-31,Southeast,Sports,Dumbbells,12,171.95,2063.4,C721
99,2023-04-28,Southeast,Home,Lamp,19,30.55,580.45,C419
100,2024-08-12,West,Sports,Yoga Mat,3,594.13,1782.39,C950
101,2024-10-04,Southeast,Electronics,Tablet,20,806.49,16129.8,C915
102,2024-08-02,Northeast,Home,Toaster,14,663.21,9284.94,C170
103,2024-06-02,Midwest,Electronics,Monitor,16,110.01,1760.16,C470
104,2024-10-12,West,Clothing,Sneakers,6,735.12,4410.72,C766
105,2023-10-04,Southwest,Food,Olive Oil,15,438.39,6575.85,C848
106,2024-08-29,Midwest,Home,Pillow,3,282.53,847.59,C561
107,2023-09-07,West,Food,Chocolate,13,339.71,4416.23,C606
108,2023-11-29,Southeast,Sports,Yoga Mat,12,798.84,9586.08,C448
109,2023-10-14,Southwest,Home,Toaster,1,519.04,519.04,C295
110,2023-03-29,Southeast,Sports,Bike,18,759.37,13668.66,C807
111,2024-05-02,West,Sports,Basketball,3,297.76,893.28,C514
112,2024-12-09,Southeast,Home,Toaster,12,475.89,5710.68,C643
113,2023-12-19,West,Food,Pasta,12,704.33,8451.96,C377
